SELECT c.Nation c.Group AVG(c.Salary) COUNT(c.ID)
FROM customers c
WHERE 
JOIN 
GROUP BY c.Nation c.Group

                           c.Nation                            c.Group                      AVG(c.Salary)                        COUNT(c.ID)

                             France                                  0                  5911.952614379085                               1224
                             France                                  1                  5912.150719729043                               1181
                             France                                  2                 5931.3765182186235                               1235
                             France                                  3                  5914.379284082254                               1313
                             France                                  4                  6018.179723502304                               1302
                             France                                  5                  5969.563025210084                               1190
                             France                                  6                 6004.6546052631575                               1216
                             France                                  7                           5957.248                               1250
                             France                                  8                  5902.777777777777                               1188
                             France                                  9                  5944.423511680482                               1327
                            Germany                                  0                  5906.863813229572                               1285
                            Germany                                  1                  5890.534469403563                               1291
                            Germany                                  2                  6015.555555555556                               1233
                            Germany                                  3                  5897.877049180328                               1220
                            Germany                                  4                  6042.986463620981                               1182
                            Germany                                  5                 5941.2140575079875                               1252
                            Germany                                  6                  5882.997481108312                               1191
                            Germany                                  7                  5881.831097079716                               1267
                            Germany                                  8                  5906.501572327044                               1272
                            Germany                                  9                  5942.326359832636                               1195
                            Hungary                                  0                  5990.310204081633                               1225
                            Hungary                                  1                  6005.647626709573                               1243
                            Hungary                                  2                  5919.561815336463                               1278
                            Hungary                                  3                  5997.983402489626                               1205
                            Hungary                                  4                  5963.476898981989                               1277
                            Hungary                                  5                  6007.024275646046                               1277
                            Hungary                                  6                  5892.677857713829                               1251
                            Hungary                                  7                  6017.508196721312                               1220
                            Hungary                                  8                 5866.2193251533745                               1304
                            Hungary                                  9                  5917.101910828025                               1256
                            Romania                                  0                   5973.04829770388                               1263
                            Romania                                  1                  5926.018882769473                               1271
                            Romania                                  2                  5923.477237048665                               1274
                            Romania                                  3                  5972.644628099173                               1210
                            Romania                                  4                  5959.232012934519                               1237
                            Romania                                  5                  5929.602803738318                               1284
                            Romania                                  6                       5959.3828125                               1280
                            Romania                                  7                  6027.480653482373                               1163
                            Romania                                  8                  5847.120377655389                               1271
                            Romania                                  9                  6004.180522565321                               1263
                             Russia                                  0                  5999.869931140015                               1307
                             Russia                                  1                  5984.225575853852                               1259
                             Russia                                  2                  5934.180790960452                               1239
                             Russia                                  3                  5989.480097481723                               1231
                             Russia                                  4                  5982.183622828784                               1209
                             Russia                                  5                  5969.000819000819                               1221
                             Russia                                  6                  5992.969837587007                               1293
                             Russia                                  7                  5942.153484729835                               1277
                             Russia                                  8                  5797.336999214454                               1273
                             Russia                                  9                  5834.314800313234                               1277
                                 UK                                  0                  5985.502109704641                               1185
                                 UK                                  1                   5945.99348534202                               1228
                                 UK                                  2                   5929.83451536643                               1269
                                 UK                                  3                  5916.712550607287                               1235
                                 UK                                  4                  5882.331983805668                               1235
                                 UK                                  5                  5955.290472501936                               1291
                                 UK                                  6                  5877.651821862348                               1235
                                 UK                                  7                  5945.521669341894                               1246
                                 UK                                  8                  6012.477660438668                               1231
                                 UK                                  9                  5896.741035856574                               1255
                                USA                                  0                 5983.0787589498805                               1257
                                USA                                  1                             5900.0                               1248
                                USA                                  2                  5959.680608365019                               1315
                                USA                                  3                  5988.185550082102                               1218
                                USA                                  4                  5965.810008481764                               1179
                                USA                                  5                  5896.299918500407                               1227
                                USA                                  6                  5922.715179968701                               1278
                                USA                                  7                  5975.918699186992                               1230
                                USA                                  8                  5987.209664848013                               1283
                                USA                                  9                  5936.217948717948                               1248
                            Ukraine                                  0                  5908.658634538153                               1245
                            Ukraine                                  1                  5848.915756630266                               1282
                            Ukraine                                  2                 6011.3837920489295                               1308
                            Ukraine                                  3                  5914.033816425121                               1242
                            Ukraine                                  4                  5979.300643086816                               1244
                            Ukraine                                  5                  5916.977848101265                               1264
                            Ukraine                                  6                  5914.980330448466                               1271
                            Ukraine                                  7                  5949.748031496063                               1270
                            Ukraine                                  8                  5860.156862745098                               1275
                            Ukraine                                  9                  5972.575757575758                               1254

